               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12183,            0.048674,            0.029938,          0.00054466,            0.029412,          0.00031792,          6.3583e-05,             0.11782,            0.049226,            0.029124,              0.0919,              0.0009,              0.0009
                   1,             0.11196,            0.046812,            0.029122,          0.00034722,            0.029412,          0.00019247,          9.6237e-05,             0.10424,            0.048408,            0.028751,            0.082887,           0.0018875,           0.0018875
                   2,             0.10019,            0.045513,            0.028588,          0.00024027,               0.025,          0.00012623,          1.2623e-05,            0.092831,            0.050091,            0.028024,            0.073862,           0.0028617,           0.0028617
                   3,            0.093876,            0.046107,            0.027498,           0.0018415,             0.26765,           0.0012929,          0.00036231,             0.08775,              0.0492,             0.02739,            0.064823,           0.0038228,           0.0038228
                   4,            0.087742,            0.047275,            0.026553,            0.001667,             0.27206,            0.001617,          0.00035185,            0.085839,            0.047054,            0.026407,            0.055771,           0.0047706,           0.0047706
                   5,            0.087799,            0.041632,            0.026225,           0.0018801,             0.29265,           0.0034586,             0.00078,            0.083567,            0.045364,            0.026611,            0.046705,           0.0057053,           0.0057053
                   6,            0.086097,            0.040939,            0.026143,           0.0031775,             0.51912,           0.0043797,          0.00081515,             0.08686,            0.042334,            0.026439,            0.037627,           0.0066268,           0.0066268
                   7,            0.085166,            0.041997,            0.025973,           0.0036651,             0.59412,           0.0059598,           0.0016744,            0.082324,            0.043373,            0.026211,            0.028535,            0.007535,            0.007535
                   8,            0.079893,            0.034935,            0.025793,           0.0044385,             0.71912,             0.03706,           0.0063275,            0.080057,            0.042528,            0.025931,             0.01943,           0.0084301,           0.0084301
                   9,            0.077067,            0.040144,            0.025833,           0.0044611,             0.72353,            0.052356,            0.012903,            0.090824,            0.035625,             0.02601,            0.010312,           0.0093119,           0.0093119
                  10,            0.086955,            0.033062,            0.025704,           0.0047395,             0.76912,            0.069713,            0.017532,            0.087139,            0.036044,            0.025878,             0.00934,             0.00934,             0.00934
                  11,             0.08148,              0.0358,            0.025555,            0.070371,             0.32318,            0.073546,             0.01963,            0.083891,            0.035847,            0.025563,             0.00934,             0.00934,             0.00934
                  12,            0.074362,            0.032976,            0.025307,             0.23478,                 0.1,             0.14492,            0.051989,            0.074553,            0.039107,            0.025532,            0.009274,            0.009274,            0.009274
                  13,            0.070742,            0.038279,            0.025481,             0.19702,              0.1353,            0.098248,            0.029794,            0.088281,            0.034111,            0.026146,            0.009208,            0.009208,            0.009208
                  14,            0.083025,            0.030499,            0.025567,             0.17811,             0.23824,             0.17433,            0.065524,            0.084946,            0.035535,             0.02597,            0.009142,            0.009142,            0.009142
                  15,            0.076158,            0.033197,            0.025198,             0.15018,             0.26765,             0.15575,            0.042499,            0.069132,            0.039745,            0.025816,            0.009076,            0.009076,            0.009076
                  16,             0.07305,            0.032524,            0.025204,             0.19476,             0.21324,            0.077039,            0.025531,            0.075957,            0.036897,            0.025458,             0.00901,             0.00901,             0.00901
                  17,            0.075573,            0.032367,            0.025161,            0.068182,             0.15882,            0.040039,            0.011719,            0.084104,             0.03229,            0.025155,            0.008944,            0.008944,            0.008944
                  18,            0.075237,            0.032001,            0.025204,             0.25334,             0.19918,             0.19285,            0.056878,            0.065137,            0.036938,            0.024656,            0.008878,            0.008878,            0.008878
                  19,            0.064569,            0.035872,            0.024918,             0.22574,             0.30898,             0.18157,            0.055514,            0.066449,            0.035318,            0.024724,            0.008812,            0.008812,            0.008812
                  20,            0.063186,            0.032308,            0.024402,             0.23148,             0.32206,              0.2267,            0.053073,            0.065036,            0.034277,            0.024525,            0.008746,            0.008746,            0.008746
                  21,            0.066632,            0.028893,            0.024168,             0.15373,             0.34265,             0.13966,            0.044283,            0.077708,            0.031245,            0.024198,             0.00868,             0.00868,             0.00868
                  22,            0.072885,            0.026533,            0.024279,             0.27038,             0.32206,             0.20133,            0.062025,            0.064396,            0.032761,            0.023895,            0.008614,            0.008614,            0.008614
                  23,            0.068397,            0.028216,            0.023842,             0.29342,             0.41029,              0.2505,            0.091661,            0.070428,            0.030092,            0.023444,            0.008548,            0.008548,            0.008548
                  24,            0.064586,            0.028456,             0.02386,              0.2717,             0.45588,             0.17487,            0.047725,            0.061975,            0.034719,            0.023181,            0.008482,            0.008482,            0.008482
                  25,            0.063692,            0.027707,            0.023572,             0.28255,             0.16324,             0.13685,            0.034553,            0.076791,            0.027172,            0.022392,            0.008416,            0.008416,            0.008416
                  26,            0.074058,            0.026389,            0.022544,              0.3039,             0.43088,             0.27795,            0.086845,            0.063652,            0.029941,            0.021957,             0.00835,             0.00835,             0.00835
                  27,            0.061653,            0.028574,            0.022514,             0.30411,             0.48529,             0.30518,            0.078144,            0.063018,            0.030074,             0.02159,            0.008284,            0.008284,            0.008284
                  28,            0.060039,            0.027969,            0.022557,             0.46347,             0.56912,             0.42291,             0.11766,            0.059798,            0.030487,            0.021246,            0.008218,            0.008218,            0.008218
                  29,            0.058906,             0.02511,            0.021469,             0.26538,             0.34265,              0.2016,            0.051402,             0.06916,            0.030712,            0.020987,            0.008152,            0.008152,            0.008152
                  30,            0.061888,            0.025745,            0.020565,             0.35149,             0.34706,             0.25208,            0.086384,            0.058214,            0.029503,            0.020562,            0.008086,            0.008086,            0.008086
                  31,             0.05667,            0.027978,              0.0205,             0.32771,             0.38863,             0.24165,             0.07041,            0.059402,            0.030002,            0.021156,             0.00802,             0.00802,             0.00802
                  32,            0.056277,            0.025673,            0.020468,             0.30967,             0.44706,             0.29349,            0.075557,            0.060124,            0.030027,            0.021557,            0.007954,            0.007954,            0.007954
                  33,            0.057318,            0.026569,            0.018692,             0.12841,             0.44265,             0.11192,            0.035467,            0.068594,            0.027913,            0.020431,            0.007888,            0.007888,            0.007888
                  34,            0.062779,             0.02284,             0.01806,             0.32071,             0.46513,             0.29347,            0.096004,            0.057863,             0.02812,            0.019708,            0.007822,            0.007822,            0.007822
                  35,            0.057288,             0.02345,            0.017518,             0.39363,             0.39265,             0.29664,            0.082514,            0.061304,            0.027735,            0.018985,            0.007756,            0.007756,            0.007756
                  36,            0.055839,            0.024696,            0.016467,             0.33909,             0.50147,             0.38241,             0.10225,            0.058154,            0.028668,            0.018138,             0.00769,             0.00769,             0.00769
                  37,            0.054773,            0.025725,            0.015716,             0.52987,             0.39913,             0.36973,            0.095987,            0.062472,            0.027891,            0.017562,            0.007624,            0.007624,            0.007624
                  38,            0.059985,            0.023729,            0.015111,             0.38718,             0.52647,             0.36695,            0.087462,            0.059695,            0.027575,              0.0175,            0.007558,            0.007558,            0.007558
                  39,            0.058203,            0.020908,            0.013805,              0.5832,             0.44706,             0.46958,             0.13672,            0.061009,            0.028551,            0.017996,            0.007492,            0.007492,            0.007492
                  40,            0.053334,            0.023451,            0.013109,             0.41356,             0.47206,             0.51162,             0.13028,            0.059997,            0.029087,            0.017672,            0.007426,            0.007426,            0.007426
                  41,            0.052415,            0.023838,            0.014089,             0.42696,             0.53529,             0.44542,             0.12237,             0.05696,            0.027994,             0.01816,             0.00736,             0.00736,             0.00736
                  42,            0.057158,             0.02422,            0.012019,             0.28431,             0.53088,             0.36409,            0.088929,            0.060672,            0.027842,            0.021064,            0.007294,            0.007294,            0.007294
                  43,            0.062167,             0.02369,            0.012369,             0.23009,             0.35588,              0.2276,            0.059938,            0.069181,            0.027544,            0.022858,            0.007228,            0.007228,            0.007228
                  44,            0.057244,             0.02306,            0.010229,             0.36927,             0.66912,             0.37326,             0.11211,            0.060888,            0.028226,            0.021964,            0.007162,            0.007162,            0.007162
                  45,            0.053169,            0.024101,            0.010546,             0.34698,             0.56471,             0.38771,             0.11483,            0.058198,            0.029479,            0.018948,            0.007096,            0.007096,            0.007096
                  46,            0.060459,            0.022402,           0.0089194,             0.20957,             0.50944,              0.2724,            0.082162,            0.064207,            0.029271,            0.019094,             0.00703,             0.00703,             0.00703
                  47,             0.05741,            0.022332,           0.0089427,             0.34463,             0.66912,             0.40244,            0.099245,             0.05951,              0.0297,            0.019369,            0.006964,            0.006964,            0.006964
                  48,            0.054789,            0.022775,           0.0085881,             0.44893,             0.53088,             0.52207,             0.16989,            0.059116,            0.029995,            0.018498,            0.006898,            0.006898,            0.006898
                  49,            0.051988,            0.020716,           0.0086569,             0.38756,             0.47297,             0.31324,            0.074367,            0.066901,            0.029303,            0.015406,            0.006832,            0.006832,            0.006832
                  50,            0.056685,            0.022215,           0.0079463,             0.53359,             0.48088,              0.4249,             0.13466,            0.058592,            0.029701,            0.016192,            0.006766,            0.006766,            0.006766
                  51,            0.052088,             0.02203,           0.0083383,             0.37016,             0.56029,             0.43296,             0.10536,            0.062213,            0.029049,            0.016022,              0.0067,              0.0067,              0.0067
                  52,            0.048887,            0.020919,           0.0067046,             0.51623,             0.54863,             0.45896,              0.1099,            0.062575,             0.02966,            0.014743,            0.006634,            0.006634,            0.006634
                  53,            0.051426,            0.021702,           0.0079282,             0.43908,             0.56912,             0.36131,              0.1048,             0.06559,            0.028253,            0.014472,            0.006568,            0.006568,            0.006568
                  54,            0.059483,            0.019555,           0.0070511,             0.54035,             0.59635,             0.49834,             0.14015,            0.058948,            0.029389,            0.014487,            0.006502,            0.006502,            0.006502
                  55,            0.051066,            0.021694,           0.0057024,              0.4819,             0.48529,             0.44071,             0.12229,            0.057187,            0.028744,            0.017648,            0.006436,            0.006436,            0.006436
                  56,            0.051409,            0.023084,           0.0062154,             0.44622,             0.43529,               0.406,             0.11666,            0.060851,            0.029022,            0.014842,             0.00637,             0.00637,             0.00637
                  57,            0.051859,            0.021411,            0.004859,             0.58224,             0.49276,             0.53314,             0.10454,            0.060999,            0.028885,            0.013609,            0.006304,            0.006304,            0.006304
                  58,            0.055615,            0.020223,           0.0058937,              0.5383,             0.60697,             0.47224,              0.1398,            0.058757,            0.029541,            0.013553,            0.006238,            0.006238,            0.006238
                  59,            0.050384,            0.021574,           0.0052209,             0.49724,             0.74853,             0.54759,             0.14443,            0.058707,            0.029224,            0.015141,            0.006172,            0.006172,            0.006172
                  60,            0.047472,            0.021395,           0.0056853,             0.37536,             0.44412,             0.34633,             0.10103,            0.062041,            0.029446,             0.01913,            0.006106,            0.006106,            0.006106
                  61,            0.051545,            0.020792,           0.0060452,             0.50321,             0.51579,             0.45421,             0.12423,            0.056219,            0.030249,            0.020666,             0.00604,             0.00604,             0.00604
                  62,            0.055283,            0.019651,           0.0061555,              0.4559,             0.58642,             0.45314,             0.13031,            0.058441,            0.030968,            0.019178,            0.005974,            0.005974,            0.005974
                  63,            0.049027,            0.021226,           0.0039741,             0.43423,             0.66247,             0.48751,             0.14202,            0.059374,            0.029941,            0.020374,            0.005908,            0.005908,            0.005908
                  64,            0.048579,            0.018802,           0.0058358,              0.4863,             0.61029,             0.47523,             0.14457,            0.059729,            0.029758,             0.01955,            0.005842,            0.005842,            0.005842
                  65,            0.048637,            0.018744,           0.0056108,              0.4158,             0.55723,             0.37052,             0.12772,            0.060147,            0.030511,            0.019405,            0.005776,            0.005776,            0.005776
                  66,            0.051561,            0.019808,           0.0039337,              0.4465,             0.43529,             0.37667,             0.11679,             0.05964,            0.030479,            0.019729,             0.00571,             0.00571,             0.00571
                  67,            0.049462,            0.019418,           0.0060742,             0.46817,             0.56915,             0.49925,             0.13947,            0.056779,            0.029938,            0.018478,            0.005644,            0.005644,            0.005644
                  68,            0.046573,            0.019374,           0.0045414,             0.52721,              0.5749,               0.576,             0.18337,            0.056241,            0.030427,            0.017125,            0.005578,            0.005578,            0.005578
                  69,            0.046684,            0.020398,           0.0048872,             0.42398,             0.63529,             0.46834,             0.16075,            0.057123,            0.030039,            0.017216,            0.005512,            0.005512,            0.005512
                  70,            0.049064,            0.021132,            0.004789,             0.53861,             0.63971,             0.63236,             0.18251,            0.057075,             0.03026,            0.018098,            0.005446,            0.005446,            0.005446
                  71,            0.044948,            0.019795,            0.004235,             0.48931,             0.65657,             0.62243,             0.16303,            0.057816,            0.030611,            0.017349,             0.00538,             0.00538,             0.00538
                  72,            0.042965,            0.018793,           0.0039237,               0.603,             0.51966,             0.59784,             0.15021,            0.057988,            0.030357,            0.016543,            0.005314,            0.005314,            0.005314
                  73,            0.044768,            0.020945,           0.0041789,             0.49598,             0.53999,              0.5031,             0.12615,            0.060293,            0.030176,            0.016751,            0.005248,            0.005248,            0.005248
                  74,            0.047818,             0.01953,           0.0028604,             0.48725,             0.49825,             0.55394,             0.14679,            0.058618,             0.03113,            0.016852,            0.005182,            0.005182,            0.005182
                  75,            0.046398,            0.019904,           0.0037277,             0.54005,             0.39265,             0.40982,             0.10927,            0.058983,            0.032581,             0.01563,            0.005116,            0.005116,            0.005116
                  76,            0.045562,            0.019971,            0.002765,             0.47606,             0.52024,              0.4943,             0.13879,            0.059122,            0.033207,            0.015665,             0.00505,             0.00505,             0.00505
                  77,            0.048208,            0.021368,           0.0035925,             0.47502,             0.49962,             0.45383,              0.1074,            0.060782,            0.032382,            0.016635,            0.004984,            0.004984,            0.004984
                  78,            0.047663,             0.01933,           0.0025195,             0.53504,             0.53862,             0.54162,             0.14283,            0.059221,             0.03288,            0.017166,            0.004918,            0.004918,            0.004918
                  79,            0.042257,            0.018015,           0.0032569,             0.45821,             0.61029,             0.55295,             0.15063,             0.05791,            0.032678,            0.016355,            0.004852,            0.004852,            0.004852
                  80,            0.042338,             0.01884,           0.0022187,             0.55564,             0.52046,              0.5384,             0.15155,             0.05883,            0.032251,            0.016856,            0.004786,            0.004786,            0.004786
                  81,            0.041939,            0.018631,           0.0027024,             0.46872,             0.46778,             0.41162,             0.12646,            0.058413,            0.030767,            0.016892,             0.00472,             0.00472,             0.00472
                  82,            0.047196,            0.019722,           0.0026715,             0.48626,             0.61912,              0.4772,             0.16726,            0.058571,            0.030797,            0.017238,            0.004654,            0.004654,            0.004654
                  83,            0.046065,            0.018748,           0.0022451,             0.54818,             0.53922,             0.55546,             0.15114,            0.058611,            0.030033,            0.016687,            0.004588,            0.004588,            0.004588
                  84,            0.042804,            0.019203,           0.0027098,             0.52022,             0.66636,             0.58584,             0.18239,            0.056832,            0.030652,            0.017052,            0.004522,            0.004522,            0.004522
                  85,            0.044147,            0.017967,           0.0026262,             0.40884,             0.53529,              0.4849,             0.13203,            0.061867,             0.03018,            0.015957,            0.004456,            0.004456,            0.004456
                  86,            0.046238,            0.019282,           0.0028613,             0.49366,             0.65567,             0.50475,             0.15647,            0.058332,            0.031232,            0.014374,             0.00439,             0.00439,             0.00439
                  87,             0.04393,            0.021044,           0.0029996,             0.50466,             0.59965,             0.55129,             0.14481,             0.05759,            0.030605,             0.01371,            0.004324,            0.004324,            0.004324
