               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12081,            0.049339,            0.029759,          0.00032468,            0.014286,          0.00017791,          1.7791e-05,             0.11143,            0.049187,            0.028848,              0.0865,              0.0015,              0.0015
                   1,              0.1057,            0.048217,            0.029003,          0.00074993,            0.075446,          0.00043211,          0.00013768,            0.094141,            0.049554,            0.028204,            0.072074,           0.0030744,           0.0030744
                   2,            0.095684,            0.046946,            0.027372,           0.0024454,             0.34063,           0.0040709,          0.00093559,            0.087513,            0.048032,            0.027355,            0.057622,           0.0046225,           0.0046225
                   3,            0.090657,            0.045495,            0.026631,           0.0020426,             0.28214,           0.0034159,          0.00070949,            0.087815,             0.04575,             0.02697,            0.043144,           0.0061441,           0.0061441
                   4,            0.093074,             0.04348,            0.026335,           0.0032412,             0.44866,           0.0046153,           0.0011598,            0.084922,            0.044689,            0.026707,            0.028639,           0.0076393,           0.0076393
                   5,            0.088027,            0.041082,            0.026275,           0.0051278,             0.68795,            0.065824,            0.018253,            0.090114,            0.040207,            0.026679,            0.014108,           0.0091081,           0.0091081
                   6,            0.088705,            0.039481,            0.026237,             0.09977,            0.015625,            0.046281,           0.0099017,            0.097316,            0.036279,            0.026215,            0.009505,            0.009505,            0.009505
                   7,            0.085185,            0.036029,            0.026428,             0.11586,              0.1067,            0.048354,            0.011566,            0.084701,            0.039678,             0.02603,            0.009505,            0.009505,            0.009505
                   8,            0.084851,            0.035578,            0.026195,            0.022675,             0.03125,            0.015673,           0.0036669,             0.10066,            0.030262,            0.026088,           0.0094225,           0.0094225,           0.0094225
                   9,             0.08377,            0.033754,            0.026008,             0.10977,             0.14821,             0.09528,            0.020325,            0.081749,            0.035758,            0.026176,             0.00934,             0.00934,             0.00934
                  10,            0.076797,            0.033911,            0.025894,             0.10344,             0.24464,            0.086907,            0.022875,             0.07932,            0.033453,            0.025997,           0.0092575,           0.0092575,           0.0092575
                  11,            0.075541,            0.031701,            0.026039,             0.10257,              0.1183,            0.078754,            0.026323,            0.085188,            0.030614,            0.026008,            0.009175,            0.009175,            0.009175
                  12,            0.078413,            0.031156,            0.025771,            0.084434,             0.29911,            0.066796,             0.01628,            0.092365,            0.029804,            0.025947,           0.0090925,           0.0090925,           0.0090925
                  13,            0.075299,            0.029076,            0.025715,            0.092187,             0.30179,            0.095914,            0.025943,            0.077636,            0.030231,             0.02572,             0.00901,             0.00901,             0.00901
                  14,            0.075408,            0.029622,            0.025484,             0.11786,             0.19509,            0.085799,            0.022254,            0.083061,            0.026885,            0.025575,           0.0089275,           0.0089275,           0.0089275
                  15,            0.071599,             0.02945,            0.025728,             0.18131,             0.35893,             0.16945,             0.04765,            0.070128,            0.029658,            0.025454,            0.008845,            0.008845,            0.008845
                  16,            0.066873,            0.032415,            0.025717,             0.20046,             0.37723,             0.18379,            0.054568,            0.067356,            0.030322,            0.025304,           0.0087625,           0.0087625,           0.0087625
                  17,            0.065644,            0.028657,            0.025449,             0.34112,             0.28482,             0.23076,            0.053765,            0.075055,            0.027704,            0.025151,             0.00868,             0.00868,             0.00868
                  18,            0.066845,            0.029016,            0.025335,             0.21822,             0.37589,             0.20943,            0.052878,            0.067899,            0.028639,             0.02519,           0.0085975,           0.0085975,           0.0085975
                  19,              0.0655,            0.029008,            0.025313,             0.19504,             0.31473,             0.16691,            0.043486,            0.067023,              0.0298,            0.025118,            0.008515,            0.008515,            0.008515
                  20,            0.063251,             0.02753,            0.024962,             0.24461,             0.56964,             0.28156,            0.073449,            0.065698,            0.028514,            0.024983,           0.0084325,           0.0084325,           0.0084325
                  21,            0.059013,             0.02766,            0.024991,             0.28235,             0.49286,             0.25803,            0.067833,            0.063137,            0.030272,            0.024874,             0.00835,             0.00835,             0.00835
                  22,            0.061571,            0.027224,            0.024953,             0.20481,             0.40179,             0.17324,              0.0435,            0.068858,            0.029468,            0.024892,           0.0082675,           0.0082675,           0.0082675
                  23,            0.063907,            0.029364,             0.02512,             0.29932,             0.49152,             0.27083,                0.08,            0.062176,            0.028469,             0.02481,            0.008185,            0.008185,            0.008185
                  24,            0.057866,            0.027904,            0.024975,             0.37348,             0.52143,             0.33081,            0.088823,            0.064096,            0.028957,            0.024742,           0.0081025,           0.0081025,           0.0081025
